Index No.,Mech,CS,Fluid,Maths,Material,Electric
210476B,A-,B,A-,B,B+,A
210477E,C+,C-,B,C+,C,B-
210479L,A,A+,A+,A-,A+,A
210480G,A-,B,B+,B+,A,A-
210481K,A-,A-,B+,B-,C+,B
210482N,A,B+,A,C+,A-,B+
210482N,A,B+,A,C+,A-,B+
210483T,A,A-,A-,B,A,A-
210484X,A,B,A,B+,A,A-
210485C,A-,A,A,C+,B+,A-
210486F,A,A,B+,C+,A-,A-
210488M,A,B+,A+,C,A,A
210489R,B+,B,A-,B-,A-,B+
210489R,B+,B,A-,B-,A-,B+
210490L,A+,A,A-,B,A,A
210491P,A+,A,A+,A,A+,A+
210492U,B+,B-,C+,I-we,B-,C+
210494D,A-,B+,A-,C+,A-,B
210495G,B+,B+,A,B+,A,B+
210495G,B+,B+,A,B+,A,B+
210496K,B-,C-,A,B-,B,A-
210497N,B,C-,C+,I-we,B-,C
210498T,A,A-,A+,B+,A+,A
210499X,A-,B-,A,C,A-,B
210500V,A,B+,A,B+,A,A
210501B,A,B+,A,B+,A-,A
210502E,A-,B+,B-,A-,B,A
210503H,A+,A,A+,B,A,A
210504L,A+,A,A+,A,A+,A+
210505P,B,B+,B,B,B+,B-
210506U,A-,A-,A,C,A,A
210507A,A,B,A+,B,A,B-
210508D,A+,A+,A+,A+,A,A
210509G,A-,B+,A,B,B,B
210511F,A-,B-,B+,A-,A-,B+
210512J,A,B+,A-,C+,A-,A
210513M,A,B+,A+,C+,A,B
210514R,B,B,B+,B-,C+,B+
210515V,A,A,A,B,A,A
210516B,Fail and Below,C-,C,C,C-,C+
210517E,A,A-,A+,B+,A,A
210518H,A+,A-,A,B,A,A+
210519L,B+,B-,B+,B+,A-,A-
210520G,B+,A,A-,B,A+,B+
210521K,A-,A,B+,B-,A,B
210523T,A+,A,A,A+,A,A
210524X,C,C,A-,B-,A-,B
210527J,A-,B,A-,A-,A-,A
210528M,A-,B+,A-,B+,B,A
210529R,Fail and Below,B-,A-,I-we,A,C+
210530L,A,B+,A,C+,A,B+
210531P,B+,A-,B-,B,A,A
210532U,A,B,A,B-,A-,B+
210533A,C,B-,B,C,B,C+
210535G,A-,A-,A+,B,A,A-
210536K,A+,A+,A+,B+,A+,A+
210537N,A-,A,A-,C+,A,A
210538T,B,A,B+,B,A,B-
210538T,B,A,B+,B,A,B-
210539X,A,C+,B-,B-,B+,A-
210540R,C,I-we,A-,C+,B+,B
210541V,C+,B,A,B-,A-,B-
210542B,A-,A+,A+,A-,A+,A
210543E,B,B,A-,B-,A,A-
210544H,B,C+,I-we,C,B-,B-
210545L,A-,B,A+,B,A-,A
210546P,B-,B,B+,B,A,A
210547U,A-,A-,A,C+,A,B+
210548A,C+,B,B,B+,B+,C
210549D,A,A,A+,B-,A,A
210551C,B-,B,C+,C+,C+,B-
210552F,A+,A-,A+,B,A,A
210553J,A,A,A+,A+,A+,A
210554M,A+,A,A+,A,A+,A+
210555R,B-,B,C+,B,A,B-
210557B,A-,A-,A-,A-,A,A+
210558E,B,C+,C+,C+,B+,B-
210559H,A-,A-,A+,A-,A-,A
210560D,A-,A-,A,A+,A,A
210561G,B+,B-,A,B+,A,B-
210562K,A,B+,A,B,A+,A
210564T,A-,B-,A-,B-,A+,B-
210565X,A+,B+,A,B+,A-,A
210566C,C+,C-,B-,C,B-,I-we
210567F,A,A-,A+,A-,A,B+
210568J,A,A,B,B,A-,A-
210569M,C+,A-,A-,B,A,B
210569M,C+,A-,A-,B,A,B
210571L,B+,A,A-,B-,A,A-
210572P,A+,A,A+,A,A,A+
210574A,A+,A,A+,A,A+,A
210576G,B,C+,B-,A,B-,B-
210578N,A,C+,B-,B-,B+,C+
210579T,A+,A,A+,A,A,A+
210580M,A+,A,A,A-,A,B-
210581R,A+,A-,A,B+,A,A-
210582V,B,B,B,C+,B,A-
210583B,A,A,A+,B+,A,A-
210583B,A,A,A+,B+,A,A-
210584E,B-,B,A,B-,B-,C+
210585H,B+,A-,A,B-,A,A
210586L,C-,F,C,C-,C,C
210586L,C-,F,C,C-,C,C
210587P,A+,A-,A+,B+,A,A-
210588U,B+,A,A,B+,B+,A
210590T,A,A-,A,B-,A,A-
210591X,A-,B,B,A-,A,A-
210592C,A-,A,A,C+,A,A-
210593F,C+,C+,I-we,B-,B-,B-
210594J,A,B+,A+,A-,A-,A
210595M,A,B,A,C+,A+,A
210596R,B+,B-,A,C-,A,A-
210597V,A,B-,A+,B+,B+,A-
210598B,B+,A-,A-,B-,A,B+
210599E,A,A,A+,A-,A,A
210602K,B+,B+,A,B-,B+,B+
210603N,A,B+,A-,B+,B+,B+
210604T,A+,B+,B-,B-,A,A
210605X,A,A-,A+,B-,A,A
210606C,A-,B,B,B-,A-,B+
210608J,A,A,A+,A-,A+,A
210609M,A,A,A,A-,A,A-
210610H,A+,A,A,A-,A+,A+
210612P,A,A-,A,A-,A,A
210613U,A-,A-,A,B-,A,A
210614A,A-,A-,A-,B-,A-,A-
210615D,A-,B+,A,C+,A-,B
210616G,A-,B-,B+,C+,B+,A-
210617K,A,A-,B+,B-,A-,B+
210620M,A+,A,A+,A-,A,A
210621R,A+,A-,A+,B+,A+,A
210622V,A,B+,A,C+,A,B
210623B,B+,B,A+,C+,A-,B
210624E,A+,A+,A+,A+,A+,A+
210625H,A+,A-,A,A-,A+,A
210626L,B+,A-,A,B,B+,A-
210628U,B,C,A-,C,B+,B
210629A,A+,A,A+,A+,A+,A
210630T,A,B+,A+,B,A,B-
210631X,A,B+,A-,B,A,A-
210632C,A,B,A-,C,A,B
210633F,C+,B,B-,C,A-,B
210634J,C+,C+,B-,C+,B-,B
210635M,B,B-,B+,C,A,B-
210636R,B+,A-,A+,B,A-,A+
210637V,B+,B,A,C+,A,B+
210638B,B+,B,B+,B,A,A-
210639E,A,A-,A,B+,A,B
210640A,A,A,A,B+,A,A-
210641D,A-,A,A-,C+,B,B
210642G,A+,B+,A+,A-,A,A+
210643K,B,B-,B+,B-,A-,A-
210643K,B-,B-,B+,B-,A-,A-
210645T,B,B,A,C+,A-,B-
210646X,A,B-,A,C+,B+,B
210647C,A,A+,A+,C+,A,A
210648F,A,A,A,B+,A,A-
210649J,B+,B-,B+,B,A,A
210650E,A,B-,B-,C+,B+,B+
210651H,A+,A-,A+,A-,A,A
210651H,A+,A-,A+,A-,A,A
210652L,A-,A,A+,B+,A+,B+
210654U,A,A-,A+,B,A-,A
210655A,A,A,A+,A,A,A
210656D,A,A,A-,B,B+,A+
210657G,A-,A+,A+,B+,A,A
210658K,C+,C-,C+,C,C+,C
210660J,C+,C,B+,C,B+,B+
210661M,A-,A-,A+,B-,A,A-
210663V,A,A-,A+,B+,A,A-
210664B,A,A,A-,B+,A,A+
210665E,A,A+,A+,B-,A,B+
210666H,B-,A-,A,B,A-,A-
210667L,A,B-,A-,C+,A,A-
210668P,A+,A,A,A,A,A
210669U,A,A,A+,B+,A,A
210670N,A,A+,A,A,A,A-
210670N,A,A+,A,A,A,A-
210671T,A-,B,B,A-,B+,A-
210673C,B+,A-,A,B,A+,B
210675J,A,A-,A+,B-,A-,B+
210676M,A,A,A+,B-,A+,A+
210678V,C+,C,B-,C,B,B+
210679B,A+,A,A,A-,A,A+
210682D,A+,A,A+,A,A+,A+
210684K,A,A-,B+,C,A-,B
210685N,A+,A+,A+,A,A+,A
210686T,A+,A,A,C+,A,A
210687X,A+,A,A+,A,A+,A+
210688C,A-,A-,A-,B,A,A-
210690B,A+,A,A,A,A,A-
210691E,A,B,A,C+,A,B-
210692H,A-,B-,A-,B,B-,B+
210693L,B,C,B+,B,B-,C+
210694P,C,C,C,I-we,B+,C+
210695U,A,A-,A+,B+,A-,A-
210696A,A,B,A-,B-,A,A
210697D,A+,A-,A,C+,A,A-
210698G,C+,B-,B+,C,B-,B-
210699K,B-,A-,A+,B+,A,A-
210701M,A,B-,A,A-,A-,A-
210702R,B,B,B,B-,A,A-
210703V,A+,A,A,B+,A,A
210704B,B+,B,I-we,B-,A-,C
210705E,A,A-,A-,A-,A-,A-
210706H,A,B+,A-,B+,B+,A
210707L,A,A,A,B,A,A
210708P,A,A,A+,B+,B+,A-
210710N,A,A,A+,B+,A+,A
210711T,A+,A-,A+,B,A+,A-
210712X,C,C,B-,C-,B-,C
210713C,A,B+,B,B-,B,C+
210715J,A,B-,A,B-,A,B+
210716M,A-,B-,A-,B-,A,B+
210718V,B-,C+,C+,C+,C,C
210720U,A+,A+,A+,A+,A+,A+
210721A,A,A-,B,B,A,B+
210723G,B-,B+,B,B,A-,B+
210726T,A,A-,A+,B,A,A-
210727X,A,B+,B-,B,B+,B+
210728C,A,A,A+,A-,A,A-
210729F,A,B,A+,C+,B-,B+
210730B,A,A-,A,B,A,B+
210731E,Fail and Below,C-,I-we,C,I-we,C
210732H,A+,A-,A+,A,A,A-
210733L,A+,B,A+,B-,A,A
210734P,A,A,A+,B-,A,B+
210735U,A,A,B+,B+,A,B
210737D,C-,C+,C+,I-we,B-,I-we
210738G,B-,B+,A,B-,B+,C+
210739K,Fail and Below,C-,I-we,C,B-,C
210740F,A-,A-,A-,B,A-,B
210741J,C,D,I-we,C+,C+,C
210742M,A,B-,A,B,A,A
210743R,B+,C,B+,B-,B+,B
210747H,C+,B,A-,C-,A-,B+
210748L,C+,C+,A-,C+,B+,C+
210749P,Fail and Below,D,I-we,B-,C-,I-we
210821F,B+,B,A,B,B+,B
210831K,C-,I-we,I-we,C,F,C+
210831K,Fail and Below,I-we,I-we,C,F,C+
210839R,Fail and Below,I-we,I-we,I-we,I-we,I-we
210839R,Fail and Below,I-we,I-we,I-we,I-we,I-we
210847N,C+,C+,C,C,C+,B
211002E,C+,D,C+,C,C+,C
211014R,C,I-we,C,I-we,I-ca,I-we
211030L,B,C-,B-,C+,B+,B
211036K,C-,C-,B+,I-we,B+,B-
211041V,C,I-we,I-we,I-we,C+,I-we
211047U,C,I-we,B-,C,B,C+
211065X,B+,C+,A-,C,B-,C+
211077K,C,C,C+,C,C+,I-we
211089A,C+,C-,I-we,C,B,B-
211096R,C+,B-,B-,C+,B,C+
