Index No.,Grade
210403C,B
210407R,B-
210411A,C+
210415N,A
210419F,C+
210423L,C+
210427D,B+
210431J,B-
210435B,B+
210439P,B+
210443X,B-
210447M,B-
210451U,A-
210455K,C+
210459C,C
210463H,B+
210467A,B
210471F,B+
210475V,B-
210479L,A-
210480G,B+
210484X,B+
210488M,C
210492U,I-we
210496K,B-
210500V,B+
210504L,A
210508D,A+
210512J,C+
210516B,C
210520G,B
210524X,B-
210529R,I-we
210533A,C
210537N,C+
210541V,B-
210545L,B
210549D,B-
210553J,A+
210557B,A-
210561G,B+
210565X,B+
210569M,B
210573U,C
210577K,A
210581R,B+
210585H,B-
210589A,C
210593F,B-
210597V,B+
210601G,B-
210605X,B-
210609M,A-
210613U,B-
210617K,B-
210621R,B+
210625H,A-
210629A,A+
210633F,C
210637V,C+
210481K,B-
210485C,C+
210489R,B-
210493A,B+
210497N,I-we
210501B,B+
210505P,B
210509G,B
210513M,C+
210517E,B+
210521K,B-
210525C,C
210530L,C+
210534D,A
210538T,B
210542B,A-
210546P,B
210550X,B+
210554M,A
210558E,C+
210562K,B
210566C,C
210570H,B
210574A,A
210578N,B-
210582V,C+
210586L,C-
210590T,B-
210594J,A-
210598B,B-
210602K,B-
210606C,B-
210610H,A-
210614A,B-
210618N,B
210622V,C+
210626L,B
210630T,B
210634J,C+
210638B,B
210482N,C+
210486F,C+
210490L,B
210494D,C+
210498T,B+
210502E,A-
210506U,C
210510C,B-
210514R,B-
210518H,B
210522N,B-
210527J,A-
210531P,B
210535G,B
210539X,B-
210543E,B-
210547U,C+
210551C,C+
210555R,B
210559H,A-
210563N,B
210567F,A-
210571L,B-
210575D,C+
210579T,A
210583B,B+
210587P,B+
210591X,A-
210595M,C+
210599E,A-
210603N,B+
210607F,C+
210611L,B+
210615D,C+
210619T,I-we
210623B,C+
210627P,A-
210631X,B
210635M,C
210639E,B+
210483T,B
210487J,C
210491P,A
210495G,B+
210499X,C
210503H,B
210507A,B
210511F,A-
210515V,B
210519L,B+
210523T,A+
210528M,B+
210532U,B-
210536K,B+
210540R,C+
210544H,C
210548A,B+
210552F,B
210556V,C
210560D,A+
210564T,B-
210568J,B
210572P,A
210576G,A
210580M,A-
210584E,B-
210588U,B+
210592C,C+
210596R,C-
210600D,B
210604T,B-
210608J,A-
210612P,A-
210616G,C+
210620M,A-
210624E,A+
210628U,C
210632C,C
210636R,B
210640A,B+
210641D,C+
210645T,C+
210649J,B
210653P,B
210657G,B+
210661M,B-
210665E,B-
210669U,B+
210673C,B
210677R,C+
210681A,C
210685N,A
210689F,B-
210693L,B
210697D,C+
210701M,A-
210705E,A-
210709U,C
210713C,B-
210717R,C
210721A,B
210725N,C+
210729F,C+
210733L,B-
210737D,I-we
210741J,C+
210745B,C+
210749P,B-
210804G,C
210808X,C+
210812E,C-
210816U,B+
210820C,B
210824R,D
210828H,C
210832N,C+
210836F,C
210840L,B+
210844D,C-
210848T,I-we
210642G,A-
210646X,C+
210650E,C+
210654U,B
210658K,C
210662R,B
210666H,B
210670N,A
210674F,C+
210678V,C
210682D,A
210686T,C+
210690B,A
210694P,I-we
210698G,C
210702R,B-
210706H,B+
210710N,B+
210714F,B-
210718V,C+
210722D,C
210726T,B
210730B,B
210734P,B-
210738G,B-
210742M,B
210746E,I-we
210801U,I-we
210805K,C-
210809C,I-we
210813H,C
210817A,I-we
210821F,B
210825V,I-we
210829L,B+
210833T,B-
210837J,C
210841P,B
210845G,C
210849X,C-
210643K,B-
210647C,C+
210651H,A-
210655A,A
210659N,C+
210663V,B+
210667L,C+
210671T,A-
210675J,B-
210679B,A-
210683G,I-we
210687X,A
210691E,C+
210695U,B+
210699K,B+
210703V,B+
210707L,B
210711T,B
210715J,B-
210719B,A
210723G,B
210727X,B
210731E,C
210735U,B+
210739K,C
210743R,B-
210747H,C-
210802A,B-
210806N,C
210810V,C+
210814L,C-
210818D,C+
210822J,C
210826B,C
210830G,B-
210834X,I-we
210838M,C-
210842U,C+
210846K,I-we
210850R,B-
210644N,C
210648F,B+
210652L,B+
210656D,B
210660J,C
210664B,B+
210668P,A
210672X,C
210676M,B-
210680U,F
210684K,C
210688C,B
210692H,B
210696A,B-
210700J,B-
210704B,B-
210708P,B+
210712X,C-
210716M,B-
210720U,A+
210724K,B+
210728C,A-
210732H,A
210736A,B
210740F,B
210744V,I-we
210748L,C+
210803D,I-we
210807T,C
210811B,C
210815P,B
210819G,B-
210823M,C+
210827E,C-
210831K,C
210835C,I-we
210839R,I-we
210843A,I-we
210847N,C
210851V,I-we
210852B,C+
210856P,C+
210860X,I-we
210864M,I-we
210868E,I-we
210872K,I-we
210876C,C
210880H,C
210884A,C+
210888N,C
210892V,B
211001B,I-we
211005P,I-we
211009G,C
211013M,I-we
211017E,C+
211021K,C+
211025C,B-
211029R,C-
211034D,C-
211039X,C-
211043E,B-
211047U,C
211051C,B
211055R,B
211059H,I-we
211064T,C+
211068J,I-we
211072P,B-
211077K,C
211082V,I-we
211086L,C
211090T,B-
211095M,C
211099E,I-we
211103N,I-we
211107F,I-we
211401C,I-we
211405R,C
211409H,C+
210853E,I-we
210857U,C
210861C,B-
210865R,B
210869H,I-we
210873N,B
210877F,B-
210881L,B
210885D,C
210889T,B-
210893B,C
211002E,C
211006U,I-we
211010C,C-
211014R,I-we
211018H,C
211022N,C+
211026F,C-
211030L,C+
211036K,I-we
211040R,I-we
211044H,B-
211048A,B+
211052F,C-
211056V,C
211060D,C+
211065X,C
211069M,I-we
211073U,C
211079T,I-we
211083B,I-we
211087P,C-
211091X,C+
211096R,C+
211100D,C+
211104T,I-we
211108J,C-
211402F,I-we
211406V,B-
211410D,C
210854H,C+
210858A,C
210862F,I-we
210866V,I-we
210870D,F
210874T,C+
210878J,C+
210882P,I-we
210886G,B-
210890M,I-we
210894E,B-
211003H,I-we
211007A,C
211011F,C-
211015V,C+
211019L,I-we
211023T,C
211027J,I-we
211031P,I-we
211037N,C+
211041V,I-we
211045L,C
211049D,C+
211053J,B-
211057B,B-
211061G,I-we
211066C,C
211070H,I-we
211074A,I-we
211080M,C-
211084E,B-
211088U,B-
211092C,C-
211097V,I-we
211101G,I-we
211105X,F
211109M,C
211403J,C
211407B,C+
211411G,I-we
210855L,C+
210859D,I-we
210863J,C+
210867B,C+
210871G,C
210875X,C+
210879M,C+
210883U,C-
210887K,C
210891R,B-
210895H,I-we
211004L,C
211008D,C
211012J,C-
211016B,C+
211020G,I-we
211024X,C
211028M,B-
211033A,C
211038T,F
211042B,I-we
211046P,C
211050X,C
211054M,C+
211058E,C
211063N,B
211067F,I-we
211071L,I-we
211076G,I-we
211081R,B
211085H,C
211089A,C
211094J,C
211098B,C+
211102K,I-we
211106C,C
211110H,I-we
211404M,C+
211408E,C
211412K,C+
211413N,B-
211417F,I-we
211421L,B
211425D,I-we
211429T,B-
211433B,C+
211437P,I-we
211441X,C+
211445M,C
211449E,C+
211453K,I-we
211457C,C+
211462L,B
211466D,C-
211470J,I-we
211474B,C
211478P,C
211482X,C+
211486M,C+
211490U,C-
211494K,C
211498C,C
200074G,C-
200200R,C
200297R,C-
200593V,I-we
200801K,C
200817N,I-we
200851L,I-we
200863B,I-we
201038J,C
201084U,I-we
211414T,C+
211418J,B
211422P,I-we
211426G,C
211430M,C
211434E,C
211438U,C+
211442C,C
211446R,C+
211450A,C
211454N,I-we
211459J,I-we
211463P,B-
211467G,C+
211471M,C
211475E,B
211479U,C+
211483C,B-
211487R,B-
211491A,C+
211495N,C+
211499F,I-we
200096B,C-
200252C,I-we
200317G,I-we
200609E,C
200803T,C
200823E,I-we
200854A,C-
200870T,I-we
201042P,I-we
201090J,F
211415X,C+
211419M,B-
211423U,B-
211427K,B+
211431R,I-we
211435H,C
211439A,C+
211443F,C-
211447V,C
211451D,C
211455T,C
211460E,C
211464U,C
211468K,C+
211472R,C
211476H,I-we
211480N,I-we
211484F,C-
211488V,C
211492D,C
211496T,C
211500E,C
200111U,I-we
200261D,B-
200337R,I-we
200620E,C
200808M,C-
200831C,C-
200855D,I-we
201025R,I-we
201051R,C
201091M,C
211416C,C+
211420H,C
211424A,C
211428N,C+
211432V,C-
211436L,I-we
211440T,C+
211444J,I-we
211448B,C+
211452G,B-
211456X,C+
211461H,C
211465A,C
211469N,C
211473V,I-we
211477L,C
211481T,I-we
211485J,C+
211489B,C
211493G,C
211497X,C
191036G,I-we
200116N,C-
200288P,I-we
200461P,F
200762N,I-we
200815G,I-we
200839H,C
200858N,C-
201035X,C
201068B,C-
,
