Index No.,Grade
210719B,A+
210723G,B
210727X,B-
210731E,I-we
210735U,B+
210739K,I-we
210743R,B+
210747H,A-
210802A,C
210806N,B-
210810V,C+
210814L,C-
210818D,A-
210822J,C
210826B,C+
210830G,I-we
210834X,B-
210838M,C
210842U,B-
210846K,C-
210850R,C+
210644N,B
210648F,A
210652L,A+
210656D,A-
210660J,B+
210664B,A-
210668P,A
210672X,B+
210676M,A+
210680U,F
210684K,B+
210688C,A-
210692H,A-
210696A,A-
210700J,B
210704B,I-we
210708P,A+
210712X,B-
210716M,A-
210720U,A+
210724K,A+
210728C,A+
210732H,A+
210736A,A-
210740F,A-
210744V,B-
210748L,A-
210803D,B-
210807T,B-
210811B,B-
210815P,B+
210819G,C+
210823M,B+
210827E,I-we
210831K,I-we
210835C,B-
210839R,I-we
210843A,I-we
210847N,C
210851V,I-we
210852B,B-
210856P,I-we
210860X,I-we
210864M,I-we
210868E,I-we
210872K,C+
210876C,A
210880H,I-we
210884A,C+
210888N,B+
210892V,C+
211001B,I-we
211005P,C
211009G,I-we
211013M,B-
211017E,C+
211021K,I-we
211025C,B
211029R,A-
211034D,I-we
211039X,B
211043E,C+
211047U,B-
211051C,B+
211055R,C+
211059H,B
211064T,I-we
211068J,B-
211072P,C+
211077K,C+
211082V,B
211086L,B
211090T,B-
211095M,I-we
211099E,I-we
211103N,I-we
211107F,I-we
211401C,C
211405R,B+
211409H,C
210853E,I-we
210857U,I-we
210861C,B+
210865R,A
210869H,C
210873N,B
210877F,B-
210881L,A-
210885D,C
210889T,B+
210893B,C
211002E,C+
211006U,A-
211010C,C
211014R,C
211018H,B-
211022N,C+
211026F,C+
211030L,B-
211036K,B+
211040R,B-
211044H,A
211048A,A
211052F,B-
211056V,C+
211060D,B+
211065X,A-
211069M,I-we
211073U,B-
211079T,B-
211083B,I-we
211087P,C+
211091X,B-
211096R,B-
211100D,A
211104T,I-we
211108J,I-we
211402F,C
211406V,A
211410D,C
210854H,C+
210858A,A
210862F,B
210866V,C
210870D,F
210874T,B+
210878J,B+
210882P,I-we
210886G,I-we
210890M,B
210894E,B-
211003H,I-we
211007A,I-we
211011F,B-
211015V,B
211019L,C
211023T,B
211027J,I-we
211031P,I-we
211037N,B
211041V,I-we
211045L,C+
211049D,A-
211053J,A-
211057B,B+
211061G,B
211066C,C+
211070H,C
211074A,C
211080M,C
211084E,B+
211088U,B
211092C,I-we
211097V,C
211101G,C
211105X,C
211109M,B+
211403J,C-
211407B,B-
211411G,A-
210855L,B
210859D,B-
210863J,A-
210867B,B+
210871G,C
210875X,A
210879M,B
210883U,I-we
210887K,B+
210891R,C
210895H,I-we
211004L,B
211008D,B-
211012J,I-we
211016B,B-
211020G,I-we
211024X,B-
211028M,B
211033A,B
211038T,F
211042B,C
211046P,B+
211050X,C+
211054M,B
211058E,C
211063N,A
211067F,B+
211071L,C
211076G,I-we
211081R,B-
211085H,B+
211089A,I-we
211094J,C
211098B,B-
211102K,B-
211106C,C
211110H,I-we
211404M,C+
211408E,B
211412K,I-we
211413N,B-
211417F,C+
211421L,B-
211425D,A-
211429T,C+
211433B,C+
211437P,I-we
211441X,C+
211445M,I-we
211449E,B
211453K,I-we
211457C,C+
211462L,I-we
211466D,I-we
211470J,I-we
211474B,I-we
211478P,B-
211482X,C
211486M,I-we
211490U,I-we
211494K,I-we
211498C,I-we
200030U,C
200245H,I-ca
200267C,C
200461P,F
200597L,I-ca
200701E,I-ca
200801K,C
200819X,C
200851L,C
200864E,I-ca
201020X,C
201026V,C
201032K,C
201044A,B
201061X,I-we
201076X,C
201084U,F
211414T,B-
211418J,B
211422P,I-we
211426G,B
211430M,I-we
211434E,C+
211438U,B-
211442C,B-
211446R,B
211450A,C
211454N,B-
211459J,I-we
211463P,I-we
211467G,A
211471M,I-we
211475E,B+
211479U,I-we
211483C,B-
211487R,B
211491A,B-
211495N,C
211499F,C
200074G,C
200252C,F
200270E,I-ca
200478A,C
200620E,B
200713R,C
200807J,I-ca
200826P,I
200853U,C
201011V,I-we
201021C,C
201028E,C
201033N,C
201053B,C
201063F,I-we
201077C,C
201091M,C
211415X,C+
211419M,A-
211423U,B
211427K,A+
211431R,C+
211435H,B
211439A,A
211443F,I-we
211447V,B-
211451D,C
211455T,I-we
211460E,B-
211464U,C
211468K,B+
211472R,B+
211476H,B+
211480N,C
211484F,I-we
211488V,I-we
211492D,B-
211496T,I-we
211500E,C+
200156K,C
200257V,C
200326H,C
200498J,I-ca
200624U,I
200761K,C
200812U,I-ca
200839H,I
200854A,C
201016P,C
201023J,I-ca
201030D,C
201034T,C
201056L,I-we
201070A,C
201079J,C
201092R,C
211416C,I-we
211420H,C
211424A,A
211428N,B+
211432V,I-we
211436L,B-
211440T,I-we
211444J,B
211448B,C+
211452G,A-
211456X,C+
211461H,B-
211465A,A
211469N,C+
211473V,C
211477L,C+
211481T,I-we
211485J,I-we
211489B,C
211493G,C+
211497X,B-
190849T,I-we
200241R,C
200261D,F
200454X,I-ca
200550M,C
200667D,I-ca
200762N,C
200813A,I-ca
200848J,I
200858N,C
201017U,C
201025R,I-we
201031G,I-we
201040H,C
201058U,C
201072G,C
201083P,C
201093V,C
